0; Zero
1; Uno
12CA021.PERC_RICHIESTA.BLK_VAL; Percentuale richiesta in caso di blocco
ACQUA.BLINKXVALV; Blink per mancata aper-chiu valvola SAC
ACQUA.CELLASKID4; Selezione visualizzazione cella skid 4
ACQUA.CORREZIONE_PORTATE; 
ACQUA.COUNT.TOTALE; Conteggio ingresso misura in mA
ACQUA.POMP.002.ATTEMPERAMENTO; Pompa collegata all'attemperamento
ACQUA.REG4.PV; Temperatura di riferimento fumi
ACQUA.RISC_DEMI.DTH1; Offset di temperatura per lo spegnimento in automatico del riscaldatore 1
ACQUA.RISC_DEMI.DTH2; Offset di temperatura per lo spegnimento in automatico del riscaldatore 2
ACQUA.RISC_DEMI.DTL1; Offset di temperatura per l'accensione in automatico del riscaldatore 1
ACQUA.RISC_DEMI.DTL2; Offset di temperatura per l'accensione in automatico del riscaldatore 2
ACQUA.RISC_DEMI.EH1_C_MAN; Risc H2O Demi comando manuale riscaldatore 1 1=ACCESO
ACQUA.RISC_DEMI.EH2_C_MAN; Risc H2O Demi comando manuale riscaldatore 2 1=ACCESO
ACQUA.RISC_DEMI.MAN_AUT; Risc H2O Demi 1=MAN 0=AUTO
ACQUA.RISC_DEMI.SEPO; Set point di temperatura per il riscaldatore in modalità AUTO
ACQUA.SOMMASKID1; 
ACQUA_RACK.MIS.44DP101.M; -
ACQUA_RACK.MIS.44DP102.M; -
ACQUA_RACK.MIS.44DP103.M; -
ACQUA_RACK.MIS.44DP104.M; -
ACQUA_RACK.MIS.44DP105.M; -
ACQUA_RACK.MIS.44DP106.M; -
ACQUA_RACK.MIS.44DP107.M; -
ACQUA_RACK.MIS.44DP108.M; -
ACQUA_RACK.MIS.44DP109.M; DP_orifice_cooling_water - DP_orifice_cooling_water
ACQUA_RACK.MIS.44DP110.M; -
ACQUA_RACK.MIS.44DP111.M; -
ACQUA_RACK.MIS.44DP112.M; -
ACQUA_RACK.MIS.44DP113.M; -
ACQUA_RACK.MIS.44DP114.M; -
ACQUA_RACK.MIS.44FT101.M; -
ACQUA_RACK.MIS.44FT102.M; -
ACQUA_RACK.MIS.44FT103.M; -
ACQUA_RACK.MIS.44FT104.M; -
ACQUA_RACK.MIS.44FT105.M; -
ACQUA_RACK.MIS.44FT106.M; -
ACQUA_RACK.MIS.44FT107.M; -
ACQUA_RACK.MIS.44FT108.M; -
ACQUA_RACK.MIS.44FT109.M; CCW_FLO - Cooling Water flow IN
ACQUA_RACK.MIS.44FT110.M; -
ACQUA_RACK.MIS.44FT111.M; -
ACQUA_RACK.MIS.44FT112.M; -
